CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
768805383,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691,777,11914,1.335,1144,42,1.625,0.061
818770008,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256,864,7392,1.541,1291,33,3.714,0.105
713982108,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418,0,3418,2.594,1887,20,2.333,0
769911858,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313,2517,796,1.405,1171,20,2.333,0.76
709106358,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716,0,4716,2.175,816,28,2.5,0
713061558,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010,1247,2763,1.376,1088,24,0.846,0.311
810347208,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516,2264,32252,1.975,1330,31,0.722,0.066
818906208,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081,1396,27685,2.204,1538,36,0.714,0.048
710930508,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352,2517,19835,3.355,1350,24,1.182,0.113
719661558,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656,1677,9979,1.524,1441,32,0.882,0.144
708790833,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748,1467,5281,0.831,1201,42,0.68,0.217
710821833,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095,1587,7508,1.433,1314,26,1.364,0.174
710599683,56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751,0,11751,3.397,1539,17,3.25,0
816082233,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547,1666,6881,1.163,1311,33,2,0.195
712396908,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436,680,1756,1.19,1570,29,0.611,0.279
714885258,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234,972,3262,1.707,1348,27,1.7,0.23
709967358,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367,2362,28005,1.708,1671,27,0.929,0.078
753327333,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535,1291,12244,0.653,1028,21,1.625,0.095
806160108,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193,2517,676,1.831,1336,30,1.143,0.788
709327383,45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470,1157,13313,0.966,1207,21,0.909,0.08
806165208,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979,1800,19179,0.906,1178,27,0.929,0.086
784725333,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470,680,3790,1.608,931,18,1.571,0.152
811604133,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492,1560,932,0.573,1126,23,0.353,0.626
789124683,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217,0,12217,1.075,1110,21,0.75,0
771071958,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768,1669,6099,0.797,1051,22,0.833,0.215
720466383,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784,1374,13410,0.921,1197,23,1.3,0.093
804424383,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215,1010,9205,0.843,1904,40,1,0.099
718813833,44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100,0,10100,0.525,1052,18,1.571,0
806624208,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785,1362,3423,0.739,1045,38,0.9,0.285
778348233,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753,1811,942,0.977,1038,25,2.571,0.658
712991808,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451,1690,761,1.323,1596,26,1.6,0.69
709029408,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923,2517,6406,1.726,1589,24,1.667,0.282
788658483,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650,1490,1160,1.75,1411,28,1,0.562
787937058,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555,1696,10859,0.519,1291,24,0.714,0.135
715318008,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520,1914,1606,0.51,1407,43,0.483,0.544
713962233,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035,2298,737,1.724,1877,37,1.176,0.757
785432733,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433,0,15433,0.865,966,22,1.2,0
715190283,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672,886,2786,1.32,1464,28,0.556,0.241
827111283,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426,578,31848,1.042,1109,28,0.474,0.018
758551608,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205,2204,4001,0.803,1347,28,0.556,0.355
773146383,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304,2517,14787,1.449,1756,33,1.2,0.145
778493808,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906,0,3906,1.214,1756,32,1,0
720572508,38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830,2055,7775,0.977,1042,23,0.917,0.209
712661433,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516,0,34516,1.621,1444,28,1.333,0
789172683,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283,1430,853,2.316,1741,27,0.588,0.626
738406533,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548,2020,528,2.357,1719,27,1.7,0.793
799723908,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458,1435,18023,0.787,1217,27,0.8,0.074
771490833,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745,1227,3518,0.624,1140,40,0.6,0.259
720756708,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622,1549,1073,1.321,1878,30,1.143,0.591
711525033,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171,2179,992,1.224,1946,38,1.923,0.687
712813458,49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763,2517,17246,0.664,1414,35,0.25,0.127
717891558,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298,2200,1098,0.678,1052,32,0.6,0.667
716632758,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802,2363,439,0.75,1295,40,0.6,0.843
768563658,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458,1880,2578,1.107,1424,29,1.417,0.422
711427458,44,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273,978,5295,2.275,1359,25,1.083,0.156
714091983,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336,1753,1583,0.69,1168,27,1.25,0.525
787584108,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436,2016,1420,0.901,1097,33,0.833,0.587
711481533,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926,1251,4675,0.944,1316,28,1.154,0.211
710082708,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957,2102,21855,0.997,1276,26,0.733,0.088
708155733,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734,1634,13100,0.989,1289,23,0.917,0.111
788979258,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516,1515,33001,0.592,1293,32,0.6,0.044
807986133,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584,1817,4767,0.62,1353,35,0.667,0.276
788730933,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084,1468,616,1.004,1132,28,0.556,0.704
711314058,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687,1107,580,1.715,1670,17,2.4,0.656
717975333,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300,1330,23970,1.072,837,15,2,0.053
715971108,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516,1763,32753,1.266,1550,41,1.05,0.051
720096558,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216,1034,1182,0.758,1540,36,0.286,0.467
719580033,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910,2030,880,0.769,1256,21,0.4,0.698
820582308,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913,1528,21385,0.414,1394,35,0.522,0.067
789973308,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312,1932,22380,1.312,1341,24,1.182,0.079
712876233,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272,1515,3757,0.857,1289,33,0.435,0.287
804595158,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000,2517,4483,0.475,1112,23,1.875,0.36
714826758,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038,1801,5237,0.751,2339,57,0.966,0.256
